Feature,Feature Systematic Name,Feature Type,Coordinates,Start,End,Strand,essential_or_not,Feature Systematic Name
ECM14,YHR132C,ORF,368502-369794,368502,369794,-,not essential,YHR132C
IGO2,YHR132W-A,ORF,370054-370449,370054,370449,+,not essential,YHR132W-A
NSG1,YHR133C,ORF,370722-371597,370722,371597,-,not essential,YHR133C
WSS1,YHR134W,ORF,371749-372558,371749,372558,+,not essential,YHR134W
YCK1,YHR135C,ORF,372694-374310,372694,374310,-,not essential,YHR135C
SPL2,YHR136C,ORF,374654-375100,374654,375100,-,not essential,YHR136C
ARO9,YHR137W,ORF,375709-377250,375709,377250,+,not essential,YHR137W
YHR137C-A,YHR137C-A,ORF,375738-376388,375738,376388,-,not essential,YHR137C-A
YHR138C,YHR138C,ORF,377355-377699,377355,377699,-,not essential,YHR138C
SPS100,YHR139C,ORF,378219-379199,378219,379199,-,not essential,YHR139C
SUT169,YNCH0011W,ncRNA gene,378254-379237,378254,379237,+,not essential,YNCH0011W
YHR139C-A,YHR139C-A,ORF,380108-380419,380108,380419,-,not essential,YHR139C-A
YHR140W,YHR140W,ORF,380572-381291,380572,381291,+,not essential,YHR140W
SNR32,YNCH0012W,snoRNA gene,381540-381727,381540,381727,+,not essential,YNCH0012W
RPL42B,YHR141C,ORF,381990-382751,381990,382751,-,not essential,YHR141C
CHS7,YHR142W,ORF,383538-384488,383538,384488,+,not essential,YHR142W
DSE2,YHR143W,ORF,385510-386487,385510,386487,+,not essential,YHR143W
RPC10,YHR143W-A,ORF,387233-387445,387233,387445,+,essential,YHR143W-A
DCD1,YHR144C,ORF,387788-388726,387788,388726,-,not essential,YHR144C
SUF8,YNCH0013C,tRNA gene,388893-388995,388893,388995,-,not essential,YNCH0013C
YHR145C,YHR145C,ORF,388981-389337,388981,389337,-,not essential,YHR145C
YHRCdelta10,YHRCdelta10,long terminal repeat,389177-389509,389177,389509,-,not essential,YHRCdelta10
YHRCdelta11,YHRCdelta11,long terminal repeat,389613-389845,389613,389845,-,not essential,YHRCdelta11
CRP1,YHR146W,ORF,390300-391697,390300,391697,+,not essential,YHR146W
ARS818,ARS818,ARS,392180-392395,392180,392395,0,not essential,ARS818
MRPL6,YHR147C,ORF,392639-393283,392639,393283,-,not essential,YHR147C
IMP3,YHR148W,ORF,393534-394085,393534,394085,+,essential,YHR148W
SKG6,YHR149C,ORF,394455-396659,394455,396659,-,not essential,YHR149C
PEX28,YHR150W,ORF,397251-398990,397251,398990,+,not essential,YHR150W
MTC6,YHR151C,ORF,399268-400848,399268,400848,-,not essential,YHR151C
SPO12,YHR152W,ORF,401434-401955,401434,401955,+,not essential,YHR152W
SPO16,YHR153C,ORF,402086-402682,402086,402682,-,not essential,YHR153C
RTT107,YHR154W,ORF,402966-406178,402966,406178,+,not essential,YHR154W
LAM1,YHR155W,ORF,407103-410789,407103,410789,+,not essential,YHR155W
SNR71,YNCH0014W,snoRNA gene,411228-411317,411228,411317,+,not essential,YNCH0014W
LIN1,YHR156C,ORF,411384-412406,411384,412406,-,not essential,YHR156C
REC104,YHR157W,ORF,412907-413455,412907,413455,+,not essential,YHR157W
KEL1,YHR158C,ORF,413685-417179,413685,417179,-,not essential,YHR158C
TDA11,YHR159W,ORF,417549-419063,417549,419063,+,not essential,YHR159W
PEX18,YHR160C,ORF,419221-420072,419221,420072,-,not essential,YHR160C
YAP1801,YHR161C,ORF,420373-422286,420373,422286,-,not essential,YHR161C
MPC2,YHR162W,ORF,423072-423461,423072,423461,+,not essential,YHR162W
SOL3,YHR163W,ORF,423724-424473,423724,424473,+,not essential,YHR163W
DNA2,YHR164C,ORF,424610-429178,424610,429178,-,essential,YHR164C
PRP8,YHR165C,ORF,429707-436948,429707,436948,-,not essential,YHR165C
YHR165W-A,YHR165W-A,ORF,436647-436958,436647,436958,+,not essential,YHR165W-A
CDC23,YHR166C,ORF,437170-439050,437170,439050,-,essential,YHR166C
THP2,YHR167W,ORF,439342-440127,439342,440127,+,not essential,YHR167W
MTG2,YHR168W,ORF,440377-441933,440377,441933,+,not essential,YHR168W
DBP8,YHR169W,ORF,442181-443476,442181,443476,+,not essential,YHR169W
NMD3,YHR170W,ORF,443828-445384,443828,445384,+,essential,YHR170W
ATG7,YHR171W,ORF,445713-447605,445713,447605,+,not essential,YHR171W
ARS820,ARS820,ARS,447714-447795,447714,447795,0,not essential,ARS820
SPC97,YHR172W,ORF,448335-450806,448335,450806,+,essential,YHR172W
YHR173C,YHR173C,ORF,450815-451153,450815,451153,-,not essential,YHR173C
ENO2,YHR174W,ORF,451327-452640,451327,452640,+,not essential,YHR174W
CTR2,YHR175W,ORF,452872-453441,452872,453441,+,not essential,YHR175W
YHR175W-A,YHR175W-A,ORF,453558-453707,453558,453707,+,not essential,YHR175W-A
FMO1,YHR176W,ORF,454229-455527,454229,455527,+,not essential,YHR176W
ROF1,YHR177W,ORF,456591-457952,456591,457952,+,not essential,YHR177W
STB5,YHR178W,ORF,459299-461530,459299,461530,+,not essential,YHR178W
OYE2,YHR179W,ORF,462502-463704,462502,463704,+,not essential,YHR179W
YHRCdelta12,YHRCdelta12,long terminal repeat,463920-464147,463920,464147,-,not essential,YHRCdelta12
YHR180W,YHR180W,ORF,465178-465669,465178,465669,+,not essential,YHR180W
YHRWdelta13,YHRWdelta13,long terminal repeat,466549-466863,466549,466863,+,not essential,YHRWdelta13
YHRCsigma3,YHRCsigma3,long terminal repeat,466884-466975,466884,466975,-,not essential,YHRCsigma3
YHR180W-A,YHR180W-A,ORF,466932-467114,466932,467114,+,not essential,YHR180W-A
YHR180C-B,YHR180C-B,ORF,466958-467062,466958,467062,-,not essential,YHR180C-B
YNCH0015W,YNCH0015W,tRNA gene,466990-467061,466990,467061,+,not essential,YNCH0015W
SVP26,YHR181W,ORF,467228-467914,467228,467914,+,not essential,YHR181W
RGD3,YHR182W,ORF,468219-470576,468219,470576,+,not essential,YHR182W
YHR182C-A,YHR182C-A,ORF,470939-471412,470939,471412,-,not essential,YHR182C-A
GND1,YHR183W,ORF,470960-472429,470960,472429,+,not essential,YHR183W
SSP1,YHR184W,ORF,472744-474459,472744,474459,+,not essential,YHR184W
PFS1,YHR185C,ORF,474627-475340,474627,475340,-,not essential,YHR185C
YNCH0016C,YNCH0016C,tRNA gene,475706-475778,475706,475778,-,not essential,YNCH0016C
KOG1,YHR186C,ORF,475999-480672,475999,480672,-,essential,YHR186C
IKI1,YHR187W,ORF,480990-481919,480990,481919,+,not essential,YHR187W
GPI16,YHR188C,ORF,482005-483837,482005,483837,-,essential,YHR188C
PTH1,YHR189W,ORF,484028-484600,484028,484600,+,not essential,YHR189W
ERG9,YHR190W,ORF,484845-486179,484845,486179,+,essential,YHR190W
CTF8,YHR191C,ORF,486230-486631,486230,486631,-,not essential,YHR191C
LNP1,YHR192W,ORF,486826-487662,486826,487662,+,not essential,YHR192W
EGD2,YHR193C,ORF,487712-488236,487712,488236,-,not essential,YHR193C
YHR193C-A,YHR193C-A,ORF,488653-489027,488653,489027,-,not essential,YHR193C-A
MDM31,YHR194W,ORF,488657-490396,488657,490396,+,not essential,YHR194W
NVJ1,YHR195W,ORF,490747-491712,490747,491712,+,not essential,YHR195W
UTP9,YHR196W,ORF,491931-493658,491931,493658,+,essential,YHR196W
RIX1,YHR197W,ORF,493896-496187,493896,496187,+,essential,YHR197W
AIM18,YHR198C,ORF,496315-497280,496315,497280,-,not essential,YHR198C
AIM46,YHR199C,ORF,497490-498422,497490,498422,-,not essential,YHR199C
NBL1,YHR199C-A,ORF,498571-498859,498571,498859,-,not essential,YHR199C-A
RPN10,YHR200W,ORF,499079-499885,499079,499885,+,not essential,YHR200W
PPX1,YHR201C,ORF,499950-501143,499950,501143,-,not essential,YHR201C
ARS822,ARS822,ARS,501756-501996,501756,501996,0,not essential,ARS822
SMN1,YHR202W,ORF,502388-504196,502388,504196,+,not essential,YHR202W
RPS4B,YHR203C,ORF,504476-505530,504476,505530,-,not essential,YHR203C
MNL1,YHR204W,ORF,506319-508709,506319,508709,+,not essential,YHR204W
SCH9,YHR205W,ORF,509363-511837,509363,511837,+,not essential,YHR205W
SKN7,YHR206W,ORF,512732-514600,512732,514600,+,not essential,YHR206W
SET5,YHR207C,ORF,514905-516485,514905,516485,-,not essential,YHR207C
BAT1,YHR208W,ORF,517532-518713,517532,518713,+,not essential,YHR208W
CRG1,YHR209W,ORF,519437-520312,519437,520312,+,not essential,YHR209W
YHR210C,YHR210C,ORF,520712-521737,520712,521737,-,not essential,YHR210C
FLO5,YHR211W,ORF,525392-528619,525392,528619,+,not essential,YHR211W
YHRCdelta14,YHRCdelta14,long terminal repeat,530049-530379,530049,530379,-,not essential,YHRCdelta14
YHR212C,YHR212C,ORF,537759-538094,537759,538094,-,not essential,YHR212C
YHR212W-A,YHR212W-A,ORF,538742-538945,538742,538945,+,not essential,YHR212W-A
YHR213W,YHR213W,ORF,539151-539747,539151,539747,+,not essential,YHR213W
YHR213W-A,YHR213W-A,ORF,540549-540782,540549,540782,+,not essential,YHR213W-A
YHR213W-B,YHR213W-B,ORF,540800-541099,540800,541099,+,not essential,YHR213W-B
YHR214W,YHR214W,ORF,541651-542262,541651,542262,+,not essential,YHR214W
YHR214W-A,YHR214W-A,ORF,543008-543493,543008,543493,+,not essential,YHR214W-A
YHRCdelta15,YHRCdelta15,long terminal repeat,543610-543941,543610,543941,-,not essential,YHRCdelta15
YHRCTy1-1,YHRCTy1-1,LTR retrotransposon,543610-549637,543610,549637,-,not essential,YHRCTy1-1
YHR214C-B,YHR214C-B,transposable element gene,543964-549346,543964,549346,-,not essential,YHR214C-B
YHR214C-C,YHR214C-C,transposable element gene,547910-549346,547910,549346,-,not essential,YHR214C-C
YHRCdelta16,YHRCdelta16,long terminal repeat,549306-549637,549306,549637,-,not essential,YHRCdelta16
YHR214C-D,YHR214C-D,ORF,550648-550941,550648,550941,-,not essential,YHR214C-D
YHR214C-E,YHR214C-E,ORF,551200-551499,551200,551499,-,not essential,YHR214C-E
PHO12,YHR215W,ORF,552099-553502,552099,553502,+,not essential,YHR215W
IMD2,YHR216W,ORF,554396-555967,554396,555967,+,not essential,YHR216W
ARS824,ARS824,ARS,556001-556331,556001,556331,0,not essential,ARS824
TEL08R,TEL08R,telomere,556105-562643,556105,562643,+,not essential,TEL08R
YHR217C,YHR217C,ORF,556581-557042,556581,557042,-,not essential,YHR217C
YHR218W,YHR218W,ORF,558014-559924,558014,559924,+,not essential,YHR218W
YHR218W-A,YHR218W-A,ORF,559932-560249,559932,560249,+,not essential,YHR218W-A
YHR219W,YHR219W,ORF,560173-562047,560173,562047,+,not essential,YHR219W
YHR219C-A,YHR219C-A,ORF,561199-561681,561199,561681,-,not essential,YHR219C-A
TEL09L,TEL09L,telomere,1-7784,1,7784,-,not essential,TEL09L
YIL177C,YIL177C,ORF,483-6147,483,6147,-,not essential,YIL177C
YIL177W-A,YIL177W-A,ORF,846-1328,846,1328,+,not essential,YIL177W-A
ARS902,ARS902,ARS,7470-8793,7470,8793,0,not essential,ARS902
PAU14,YIL176C,ORF,8793-9155,8793,9155,-,not essential,YIL176C
YIL175W,YIL175W,pseudogene,9183-9500,9183,9500,+,not essential,YIL175W
YIL174W,YIL174W,pseudogene,9469-9696,9469,9696,+,not essential,YIL174W
VTH1,YIL173W,ORF,11492-16141,11492,16141,+,not essential,YIL173W
ARS904,ARS904,ARS,16141-16784,16141,16784,0,not essential,ARS904
IMA3,YIL172C,ORF,16784-18553,16784,18553,-,not essential,YIL172C
YIL171W-A,YIL171W-A,ORF,18260-18712,18260,18712,+,not essential,YIL171W-A
YIL171W,YIL171W,pseudogene,19515-19844,19515,19844,+,not essential,YIL171W
HXT12,YIL170W,pseudogene,19847-21220,19847,21220,+,not essential,YIL170W
CSS1,YIL169C,ORF,23119-26106,23119,26106,-,not essential,YIL169C
SDL1,YIL167W,blocked reading frame,29032-30048,29032,30048,+,not essential,YIL167W
SOA1,YIL166C,ORF,30938-32566,30938,32566,-,not essential,YIL166C
YIL165C,YIL165C,ORF,33718-34077,33718,34077,-,not essential,YIL165C
NIT1,YIL164C,ORF,34087-34686,34087,34686,-,not essential,YIL164C
YIL163C,YIL163C,ORF,36899-37252,36899,37252,-,not essential,YIL163C
SUC2,YIL162W,ORF,37385-38983,37385,38983,+,not essential,YIL162W
SMU2,YIL161W,ORF,39433-40140,39433,40140,+,not essential,YIL161W
POT1,YIL160C,ORF,40191-41444,40191,41444,-,not essential,YIL160C
BNR1,YIL159W,ORF,41825-45952,41825,45952,+,not essential,YIL159W
AIM20,YIL158W,ORF,46201-46815,46201,46815,+,not essential,YIL158W
COA1,YIL157C,ORF,46949-47542,46949,47542,-,not essential,YIL157C
YIL156W-A,YIL156W-A,ORF,47292-47693,47292,47693,+,not essential,YIL156W-A
MCO8,YIL156W-B,ORF,47690-47973,47690,47973,+,not essential,YIL156W-B
UBP7,YIL156W,ORF,48091-51306,48091,51306,+,not essential,YIL156W
GUT2,YIL155C,ORF,51759-53708,51759,53708,-,not essential,YIL155C
IMP21,YIL154C,ORF,53981-55021,53981,55021,-,not essential,YIL154C
RRD1,YIL153W,ORF,55198-56379,55198,56379,+,not essential,YIL153W
VPR1,YIL152W,ORF,56545-57252,56545,57252,+,not essential,YIL152W
ESL1,YIL151C,ORF,57338-60694,57338,60694,-,not essential,YIL151C
MCM10,YIL150C,ORF,61013-62728,61013,62728,-,essential,YIL150C
MLP2,YIL149C,ORF,63028-68067,63028,68067,-,not essential,YIL149C
RPL40A,YIL148W,ORF,68708-69528,68708,69528,+,not essential,YIL148W
SLN1,YIL147C,ORF,69791-73453,69791,73453,-,essential,YIL147C
ARS907,ARS907,ARS,73820-73991,73820,73991,0,not essential,ARS907
ATG32,YIL146C,ORF,74184-75773,74184,75773,-,not essential,YIL146C
PAN6,YIL145C,ORF,76354-77283,76354,77283,-,not essential,YIL145C
NDC80,YIL144W,ORF,78074-80149,78074,80149,+,not essential,YIL144W
SSL2,YIL143C,ORF,80510-83041,80510,83041,-,essential,YIL143C
YIL142C-A,YIL142C-A,ORF,83208-83540,83208,83540,-,not essential,YIL142C-A
CCT2,YIL142W,ORF,83302-84885,83302,84885,+,essential,YIL142W
YIL141W,YIL141W,ORF,85053-85442,85053,85442,+,not essential,YIL141W
AXL2,YIL140W,ORF,85366-87837,85366,87837,+,not essential,YIL140W
REV7,YIL139C,ORF,87979-88716,87979,88716,-,not essential,YIL139C
TPM2,YIL138C,ORF,89230-89715,89230,89715,-,not essential,YIL138C
TMA108,YIL137C,ORF,89948-92788,89948,92788,-,not essential,YIL137C
OM45,YIL136W,ORF,93619-94800,93619,94800,+,not essential,YIL136W
VHS2,YIL135C,ORF,95065-96375,95065,96375,-,not essential,YIL135C
YIL134C-A,YIL134C-A,ORF,96522-96725,96522,96725,-,not essential,YIL134C-A
SNR68,YNCI0001W,snoRNA gene,97111-97246,97111,97246,+,not essential,YNCI0001W
FLX1,YIL134W,ORF,97395-98330,97395,98330,+,not essential,YIL134W
RPL16A,YIL133C,ORF,98527-99416,98527,99416,-,not essential,YIL133C
CSM2,YIL132C,ORF,99860-100501,99860,100501,-,not essential,YIL132C
FKH1,YIL131C,ORF,100781-102235,100781,102235,-,not essential,YIL131C
ASG1,YIL130W,ORF,102782-105676,102782,105676,+,not essential,YIL130W
ARS909,ARS909,ARS,105870-106053,105870,106053,0,not essential,ARS909
TAO3,YIL129C,ORF,106107-113237,106107,113237,-,essential,YIL129C
ARS910,ARS910,ARS,113237-113806,113237,113806,0,not essential,ARS910
MET18,YIL128W,ORF,113806-116904,113806,116904,+,not essential,YIL128W
RRT14,YIL127C,ORF,117024-117644,117024,117644,-,not essential,YIL127C
STH1,YIL126W,ORF,117992-122071,117992,122071,+,essential,YIL126W
KGD1,YIL125W,ORF,122689-125733,122689,125733,+,not essential,YIL125W
AYR1,YIL124W,ORF,126204-127097,126204,127097,+,not essential,YIL124W
SIM1,YIL123W,ORF,128151-129581,128151,129581,+,not essential,YIL123W
POG1,YIL122W,ORF,130610-131665,130610,131665,+,not essential,YIL122W
QDR2,YIL121W,ORF,132244-133872,132244,133872,+,not essential,YIL121W
QDR1,YIL120W,ORF,134417-136108,134417,136108,+,not essential,YIL120W
ARS911,ARS911,ARS,136098-136338,136098,136338,0,not essential,ARS911
RPI1,YIL119C,ORF,136654-137877,136654,137877,-,not essential,YIL119C
RHO3,YIL118W,ORF,139752-140447,139752,140447,+,essential,YIL118W
PRM5,YIL117C,ORF,140613-141569,140613,141569,-,not essential,YIL117C
HIS5,YIL116W,ORF,142928-144085,142928,144085,+,not essential,YIL116W
YIL115W-A,YIL115W-A,ORF,144268-144639,144268,144639,+,not essential,YIL115W-A
NUP159,YIL115C,ORF,144327-148709,144327,148709,-,essential,YIL115C
POR2,YIL114C,ORF,149143-149988,149143,149988,-,not essential,YIL114C
SDP1,YIL113W,ORF,150559-151188,150559,151188,+,not essential,YIL113W
HOS4,YIL112W,ORF,151595-154846,151595,154846,+,not essential,YIL112W
COX5B,YIL111W,ORF,155222-155765,155222,155765,+,not essential,YIL111W
HPM1,YIL110W,ORF,156045-157178,156045,157178,+,not essential,YIL110W
SEC24,YIL109C,ORF,157385-160165,157385,160165,-,essential,YIL109C
YIL108W,YIL108W,ORF,160887-162977,160887,162977,+,not essential,YIL108W
PFK26,YIL107C,ORF,163278-165761,163278,165761,-,not essential,YIL107C
MOB1,YIL106W,ORF,166415-167444,166415,167444,+,essential,YIL106W
SLM1,YIL105C,ORF,167581-169641,167581,169641,-,not essential,YIL105C
YIL105W-A,YIL105W-A,ORF,167664-167804,167664,167804,+,not essential,YIL105W-A
SHQ1,YIL104C,ORF,169982-171505,169982,171505,-,essential,YIL104C
DPH1,YIL103W,ORF,171751-173028,171751,173028,+,not essential,YIL103W
YIL102C-A,YIL102C-A,ORF,173365-173592,173365,173592,-,not essential,YIL102C-A
YIL102C,YIL102C,ORF,174582-174887,174582,174887,-,not essential,YIL102C
YNCI0002W,YNCI0002W,tRNA gene,175031-175103,175031,175103,+,not essential,YNCI0002W
ARS912,ARS912,ARS,175038-175358,175038,175358,0,not essential,ARS912
XBP1,YIL101C,ORF,175307-177250,175307,177250,-,not essential,YIL101C
YIL100C-A,YIL100C-A,ORF,177343-177681,177343,177681,-,not essential,YIL100C-A
YIL100W,YIL100W,ORF,177373-177726,177373,177726,+,not essential,YIL100W
SGA1,YIL099W,ORF,178004-179653,178004,179653,+,not essential,YIL099W
FMC1,YIL098C,ORF,179772-180239,179772,180239,-,not essential,YIL098C
FYV10,YIL097W,ORF,180427-181977,180427,181977,+,not essential,YIL097W
BMT5,YIL096C,ORF,182117-183127,182117,183127,-,not essential,YIL096C
YNCI0003C,YNCI0003C,tRNA gene,183440-183513,183440,183513,-,not essential,YNCI0003C
PRK1,YIL095W,ORF,183937-186369,183937,186369,+,not essential,YIL095W
LYS12,YIL094C,ORF,186517-187632,186517,187632,-,not essential,YIL094C
RSM25,YIL093C,ORF,187990-188784,187990,188784,-,not essential,YIL093C
YIL092W,YIL092W,ORF,189066-190967,189066,190967,+,not essential,YIL092W
UTP25,YIL091C,ORF,191030-193195,191030,193195,-,essential,YIL091C
ICE2,YIL090W,ORF,193595-195070,193595,195070,+,not essential,YIL090W
YIL089W,YIL089W,ORF,195599-196216,195599,196216,+,not essential,YIL089W
YILCtau1,YILCtau1,long terminal repeat,196653-197023,196653,197023,-,not essential,YILCtau1
YILCdelta1,YILCdelta1,long terminal repeat,197140-197488,197140,197488,-,not essential,YILCdelta1
YNCI0004W,YNCI0004W,tRNA gene,197592-197663,197592,197663,+,not essential,YNCI0004W
AVT7,YIL088C,ORF,197931-199403,197931,199403,-,not essential,YIL088C
AIM19,YIL087C,ORF,199646-200119,199646,200119,-,not essential,YIL087C
YIL086C,YIL086C,ORF,200153-200461,200153,200461,-,not essential,YIL086C
KTR7,YIL085C,ORF,200490-202043,200490,202043,-,not essential,YIL085C
SDS3,YIL084C,ORF,202276-203259,202276,203259,-,not essential,YIL084C
CAB2,YIL083C,ORF,203556-204653,203556,204653,-,essential,YIL083C
YILWsigma1,YILWsigma1,long terminal repeat,205220-205559,205220,205559,+,not essential,YILWsigma1
YILWTy3-1,YILWTy3-1,LTR retrotransposon,205220-210647,205220,210647,+,not essential,YILWTy3-1
YIL082W-A,YIL082W-A,transposable element gene,205635-210132,205635,210132,+,not essential,YIL082W-A
YIL082W,YIL082W,ORF,205635-206507,205635,206507,+,not essential,YIL082W
YILWsigma2,YILWsigma2,long terminal repeat,210308-210647,210308,210647,+,not essential,YILWsigma2
YNCI0005W,YNCI0005W,tRNA gene,210665-210738,210665,210738,+,not essential,YNCI0005W
AIR1,YIL079C,ORF,210923-212005,210923,212005,-,not essential,YIL079C
THS1,YIL078W,ORF,212499-214703,212499,214703,+,essential,YIL078W
ARS901,ARS913,ARS,214624-214754,214624,214754,0,not essential,ARS913
RCI37,YIL077C,ORF,214991-215953,214991,215953,-,not essential,YIL077C
SEC28,YIL076W,ORF,216658-217548,216658,217548,+,not essential,YIL076W
RPN2,YIL075C,ORF,217863-220700,217863,220700,-,essential,YIL075C
SER33,YIL074C,ORF,221081-222490,221081,222490,-,not essential,YIL074C
SPO22,YIL073C,ORF,222937-225954,222937,225954,-,not essential,YIL073C
HOP1,YIL072W,ORF,226602-228419,226602,228419,+,not essential,YIL072W
YIL071W-A,YIL071W-A,ORF,228550-229026,228550,229026,+,not essential,YIL071W-A
PCI8,YIL071C,ORF,228660-229994,228660,229994,-,not essential,YIL071C
MAM33,YIL070C,ORF,230272-231072,230272,231072,-,not essential,YIL070C
RPS24B,YIL069C,ORF,231553-232369,231553,232369,-,not essential,YIL069C
YIL068W-A,YIL068W-A,ORF,233013-233396,233013,233396,+,not essential,YIL068W-A
SEC6,YIL068C,ORF,233057-235474,233057,235474,-,essential,YIL068C
YIL067C,YIL067C,ORF,235724-237760,235724,237760,-,not essential,YIL067C
YIL066W-A,YIL066W-A,ORF,237366-237809,237366,237809,+,not essential,YIL066W-A
RNR3,YIL066C,ORF,238099-240708,238099,240708,-,not essential,YIL066C
FIS1,YIL065C,ORF,241308-241775,241308,241775,-,not essential,YIL065C
EFM4,YIL064W,ORF,241943-242716,241943,242716,+,not essential,YIL064W
YRB2,YIL063C,ORF,242761-243744,242761,243744,-,essential,YIL063C
ARC15,YIL062C,ORF,243998-244462,243998,244462,-,essential,YIL062C
SNP1,YIL061C,ORF,244657-245559,244657,245559,-,essential,YIL061C
ARS923,ARS923,ARS,245756-245925,245756,245925,0,not essential,ARS923
YILWdelta2,YILWdelta2,long terminal repeat,246220-246552,246220,246552,+,not essential,YILWdelta2
YIL060W,YIL060W,ORF,246392-246826,246392,246826,+,not essential,YIL060W
YIL059C,YIL059C,ORF,246550-246915,246550,246915,-,not essential,YIL059C
YIL058W,YIL058W,ORF,246914-247198,246914,247198,+,not essential,YIL058W
ARS914,ARS914,ARS,247705-247760,247705,247760,0,not essential,ARS914
RGI2,YIL057C,ORF,247902-248396,247902,248396,-,not essential,YIL057C
ARS915,ARS915,ARS,248396-248850,248396,248850,0,not essential,ARS915
SUP17,YNCI0006W,tRNA gene,248850-248931,248850,248931,+,not essential,YNCI0006W
VHR1,YIL056W,ORF,249991-251913,249991,251913,+,not essential,YIL056W
YIL055C,YIL055C,ORF,252042-253925,252042,253925,-,not essential,YIL055C
YIL054W,YIL054W,ORF,254543-254860,254543,254860,+,not essential,YIL054W
GPP1,YIL053W,ORF,255115-255867,255115,255867,+,not essential,YIL053W
RPL34B,YIL052C,ORF,256226-257063,256226,257063,-,not essential,YIL052C
MMF1,YIL051C,ORF,257843-258280,257843,258280,-,essential,YIL051C
PCL7,YIL050W,ORF,258913-259770,258913,259770,+,not essential,YIL050W
DFG10,YIL049W,ORF,260158-260919,260158,260919,+,not essential,YIL049W
NEO1,YIL048W,ORF,261437-264892,261437,264892,+,essential,YIL048W
YIL047C-A,YIL047C-A,ORF,265099-265467,265099,265467,-,not essential,YIL047C-A
SYG1,YIL047C,ORF,265115-267823,265115,267823,-,not essential,YIL047C
YIL046W-A,YIL046W-A,ORF,268309-268473,268309,268473,+,not essential,YIL046W-A
MET30,YIL046W,ORF,268651-270573,268651,270573,+,essential,YIL046W
PIG2,YIL045W,ORF,271161-272777,271161,272777,+,not essential,YIL045W
AGE2,YIL044C,ORF,272950-273846,272950,273846,-,not essential,YIL044C
CBR1,YIL043C,ORF,274072-274926,274072,274926,-,not essential,YIL043C
PKP1,YIL042C,ORF,275108-276292,275108,276292,-,not essential,YIL042C
GVP36,YIL041W,ORF,276525-277505,276525,277505,+,not essential,YIL041W
APQ12,YIL040W,ORF,277723-278139,277723,278139,+,not essential,YIL040W
TED1,YIL039W,ORF,278426-279847,278426,279847,+,not essential,YIL039W
NOT3,YIL038C,ORF,280142-282652,280142,282652,-,not essential,YIL038C
PRM2,YIL037C,ORF,283029-284999,283029,284999,-,not essential,YIL037C
CST6,YIL036W,ORF,285666-287429,285666,287429,+,not essential,YIL036W
CKA1,YIL035C,ORF,287790-288908,287790,288908,-,not essential,YIL035C
CAP2,YIL034C,ORF,289226-290089,289226,290089,-,not essential,YIL034C
BCY1,YIL033C,ORF,290419-291669,290419,291669,-,not essential,YIL033C
YIL032C,YIL032C,ORF,291961-292317,291961,292317,-,not essential,YIL032C
ULP2,YIL031W,ORF,292633-295737,292633,295737,+,essential,YIL031W
YIL030W-A,YIL030W-A,ORF,295565-295903,295565,295903,+,not essential,YIL030W-A
SSM4,YIL030C,ORF,296050-300009,296050,300009,-,not essential,YIL030C
YIL029W-A,YIL029W-A,ORF,299735-300106,299735,300106,+,not essential,YIL029W-A
YNCI0007C,YNCI0007C,tRNA gene,300228-300300,300228,300300,-,not essential,YNCI0007C
YILCdelta3,YILCdelta3,long terminal repeat,300409-300727,300409,300727,-,not essential,YILCdelta3
EMA17,YIL029C,ORF,300829-301257,300829,301257,-,not essential,YIL029C
YIL028W,YIL028W,ORF,302100-302498,302100,302498,+,not essential,YIL028W
EMC5,YIL027C,ORF,303679-304104,303679,304104,-,not essential,YIL027C
IRR1,YIL026C,ORF,304477-307929,304477,307929,-,essential,YIL026C
YIL025C,YIL025C,ORF,308201-308575,308201,308575,-,not essential,YIL025C
YIL024C,YIL024C,ORF,308602-309171,308602,309171,-,not essential,YIL024C
YKE4,YIL023C,ORF,309386-310426,309386,310426,-,not essential,YIL023C
TIM44,YIL022W,ORF,311165-312460,311165,312460,+,essential,YIL022W
RPB3,YIL021W,ORF,312905-313861,312905,313861,+,essential,YIL021W
YIL021C-A,YIL021C-A,ORF,313199-313468,313199,313468,-,not essential,YIL021C-A
YIL020C-A,YIL020C-A,ORF,313713-314051,313713,314051,-,not essential,YIL020C-A
ARS918,ARS918,ARS,313861-314035,313861,314035,0,not essential,ARS918
HIS6,YIL020C,ORF,314035-314820,314035,314820,-,not essential,YIL020C
FAF1,YIL019W,ORF,315093-316133,315093,316133,+,essential,YIL019W
RPL2B,YIL018W,ORF,316768-317932,316768,317932,+,not essential,YIL018W
VID28,YIL017C,ORF,318200-320965,318200,320965,-,not essential,YIL017C
SNL1,YIL016W,ORF,321454-321933,321454,321933,+,not essential,YIL016W
BAR1,YIL015W,ORF,322342-324105,322342,324105,+,not essential,YIL015W
YNCI0008C,YNCI0008C,tRNA gene,324303-324374,324303,324374,-,not essential,YNCI0008C
YILWsigma3,YILWsigma3,long terminal repeat,324391-324734,324391,324734,+,not essential,YILWsigma3
YILWdelta4,YILWdelta4,long terminal repeat,324831-325164,324831,325164,+,not essential,YILWdelta4
YIL014C-A,YIL014C-A,ORF,325212-325526,325212,325526,-,not essential,YIL014C-A
YNCI0009W,YNCI0009W,tRNA gene,325748-325820,325748,325820,+,not essential,YNCI0009W
